gene,annotation,distanceToTSS,fold_enrichment,pileup,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mylip,Distal Intergenic,27234,7.39028,10,0.0222056502811261,4.41512362849367,0.056,0.0,1.0
Cenpc1,Distal Intergenic,799953,4.70286,9,0.0305205808544803,1.94166028550722,0.108,0.033,1.0
Rarg,"Exon (ENSMUST00000043172.14/19411, exon 6 of 10)",3298,64.0974,197,5.58176384153298e-15,1.92390073317745,0.832,0.489,1.12606503739086e-10
Exoc5,Promoter (<=1kb),19,9.00375,16,0.0306098545523414,1.20031389584962,0.172,0.078,1.0
Mon2,Distal Intergenic,-15788,12.0269,20,0.0215180330218169,1.03899673564471,0.224,0.111,1.0
Btbd1,Promoter (<=1kb),0,11.4887,17,0.0191438679481854,1.03680598835123,0.14,0.044,1.0
Tulp4,Promoter (<=1kb),0,14.7806,21,0.0054051745325735,0.973160330156919,0.288,0.133,1.0
Ttll11,Promoter (<=1kb),195,4.23789,6,0.0178421753752451,0.71409016100042,0.364,0.222,1.0
Zfp407,Promoter (<=1kb),334,11.4887,17,0.0306015274647182,0.54274844857377,0.368,0.233,1.0
Srrm2,Promoter (<=1kb),366,12.9673,35,0.0094520942900947,0.475286960688216,0.828,0.711,1.0
Sema6d,"Intron (ENSMUST00000103241.7/214968, intron 4 of 20)",-132865,4.60874,7,0.0293731753183598,0.430200317336082,0.576,0.467,1.0
