gene,annotation,distanceToTSS,fold_enrichment,pileup,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gpc4,Promoter (<=1kb),44,12.0394,19,0.0031846849249529,-2.36467772806588,0.02,0.089,1.0
Sdc3,Promoter (<=1kb),0,20.2098,32,0.0014017489441907,-2.26438918305234,0.016,0.089,1.0
Ccdc85b,Promoter (<=1kb),173,6.84388,18,0.006332409611561,-1.60768568135644,0.028,0.1,1.0
Otud4,Promoter (<=1kb),98,10.063,18,0.0119350008408887,-1.35458542828303,0.076,0.167,1.0
Ube2h,"Intron (ENSMUST00000102993.9/22214, intron 3 of 6)",-7945,4.60874,7,0.0111138502291453,-0.968373240206315,0.176,0.289,1.0
Npas3,Promoter (<=1kb),-122,15.6512,25,0.0184897891563615,-0.840169229818738,0.204,0.322,1.0
Scg5,3' UTR,-3242,11.8458,17,0.0017492117988967,-0.789982207276827,0.28,0.444,1.0
Hs3st4,Promoter (<=1kb),316,11.1485,25,0.0308829615119225,-0.648608993495285,0.448,0.522,1.0
Clstn1,Promoter (<=1kb),0,10.6577,16,0.0088313136484263,-0.633239070669212,0.304,0.433,1.0
Gse1,Promoter (<=1kb),196,13.2408,24,0.0297570111243765,-0.596477526747987,0.212,0.322,1.0
Esrrg,"Intron (ENSMUST00000127489.7/26381, intron 3 of 3)",-22406,3.70743,6,0.0105318329013061,-0.499055758530282,0.4,0.533,1.0
Celf4,"Intron (ENSMUST00000159605.7/225289, intron 7 of 8)",72140,59.1728,137,0.0325605608494401,-0.418039192383509,0.676,0.744,1.0
Cntnap5a,Distal Intergenic,-1121934,4.70866,7,0.0226675396054513,-0.305347703823941,0.784,0.844,1.0
Ldb2,"Intron (ENSMUST00000196411.4/ENSMUST00000196411.4, intron 3 of 4)",-62886,4.60874,7,0.0368381945776977,-0.305218739578629,0.584,0.678,1.0
Magi2,Promoter (<=1kb),658,5.14546,11,0.0034012876166519,-0.208457311840352,0.992,1.0,1.0
