"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","face development","3","74","24","26481","1.99e-3","5.74e-1","44.73","6.63e-1","5.74e-1","4.06e-5","GO:0060324~face development","RARG,CHD7,ZFAND5"
"GOTERM_BP_DIRECT","in utero embryonic development","6","74","366","26481","3.42e-3","5.74e-1","5.87","8.46e-1","5.74e-1","5.62e-4","GO:0001701~in utero embryonic development","ARNT2,MAF,MECOM,CHD7,ZFAND5,DSC3"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","11","74","1346","26481","3.74e-3","5.74e-1","2.92","8.71e-1","5.74e-1","1.23e-3","GO:0045944~positive regulation of transcription by RNA polymerase II","ARNT2,RARG,MAF,MECOM,PRKDC,CHD7,IRF2,S1PR1,LDB2,ZFP982,CDC73"
"GOTERM_BP_DIRECT","embryonic hindlimb morphogenesis","3","74","35","26481","4.20e-3","5.74e-1","30.67","9.00e-1","5.74e-1","1.29e-4","GO:0035116~embryonic hindlimb morphogenesis","RARG,MECOM,CHD7"
"GOTERM_BP_DIRECT","cell adhesion","7","74","582","26481","5.39e-3","5.88e-1","4.30","9.48e-1","5.88e-1","1.20e-3","GO:0007155~cell adhesion","CD226,CTNNA2,TLN2,FAT4,CTNNAL1,COL19A1,DSC3"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","7","74","693","26481","1.22e-2","1.00e+0","3.61","9.99e-1","1.00e+0","3.22e-3","GO:0043066~negative regulation of apoptotic process","ARNT2,BABAM2,RARG,PRAMEL57,PRAMEL34,PRKDC,CDC73"
"GOTERM_BP_DIRECT","growth plate cartilage chondrocyte growth","2","74","5","26481","1.37e-2","1.00e+0","143.14","9.99e-1","1.00e+0","7.66e-5","GO:0003430~growth plate cartilage chondrocyte growth","RARG,CST5"
"GOTERM_BP_DIRECT","T cell migration","2","74","10","26481","2.72e-2","1.00e+0","71.57","1.00e+0","1.00e+0","3.42e-4","GO:0072678~T cell migration","S1PR1,ITGB7"
"GOTERM_BP_DIRECT","cell-cell adhesion","4","74","235","26481","2.72e-2","1.00e+0","6.09","1.00e+0","1.00e+0","4.28e-3","GO:0098609~cell-cell adhesion","ITGB7,CTNNA2,TLN2,DSC3"
"GOTERM_BP_DIRECT","brain development","4","74","247","26481","3.09e-2","1.00e+0","5.80","1.00e+0","1.00e+0","5.10e-3","GO:0007420~brain development","ARNT2,ABR,PRKDC,S1PR1"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","6","74","654","26481","3.44e-2","1.00e+0","3.28","1.00e+0","1.00e+0","9.94e-3","GO:0008284~positive regulation of cell population proliferation","ARNT2,RARG,PRAMEL57,PRAMEL34,NTRK3,S1PR1"
"GOTERM_BP_DIRECT","positive regulation of positive chemotaxis","2","74","14","26481","3.79e-2","1.00e+0","51.12","1.00e+0","1.00e+0","6.86e-4","GO:0050927~positive regulation of positive chemotaxis","NTRK3,S1PR1"
"GOTERM_BP_DIRECT","lens fiber cell differentiation","2","74","15","26481","4.06e-2","1.00e+0","47.71","1.00e+0","1.00e+0","7.90e-4","GO:0070306~lens fiber cell differentiation","MAF,NTRK3"
"GOTERM_BP_DIRECT","nuclear export","2","74","16","26481","4.32e-2","1.00e+0","44.73","1.00e+0","1.00e+0","9.01e-4","GO:0051168~nuclear export","NEMF,MALT1"
"GOTERM_BP_DIRECT","regulation of epithelial cell proliferation","2","74","23","26481","6.15e-2","1.00e+0","31.12","1.00e+0","1.00e+0","1.88e-3","GO:0050678~regulation of epithelial cell proliferation","PRKDC,SERPINB5"
"GOTERM_BP_DIRECT","cell differentiation","6","74","779","26481","6.38e-2","1.00e+0","2.76","1.00e+0","1.00e+0","2.17e-2","GO:0030154~cell differentiation","ALKBH5,RARG,MECOM,SEMA6D,CTNNA2,COL19A1"
"GOTERM_BP_DIRECT","epithelium development","2","74","24","26481","6.41e-2","1.00e+0","29.82","1.00e+0","1.00e+0","2.04e-3","GO:0060429~epithelium development","RARG,CHD7"
"GOTERM_BP_DIRECT","negative regulation of cell differentiation","3","74","166","26481","7.69e-2","1.00e+0","6.47","1.00e+0","1.00e+0","1.13e-2","GO:0045596~negative regulation of cell differentiation","RARG,PRAMEL57,PRAMEL34"

