"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","61","456","1346","26481","1.44e-11","1.99e-8","2.63","3.54e-8","1.98e-8","5.27e-12","GO:0045944~positive regulation of transcription by RNA polymerase II","MESP1,RARG,ZFP407,MYT1L,IHH,TCF20,YBX1,IKZF2,HOXA13,PTMS,YY1,TBK1,MYBL2,HMGN3,NCOA1,FOXD3,POU1F1,LMO4,NCOA6,TET2,LMO7,EBF3,MITF,PAX5,DICER1,RUNX3,POU3F3,PAX2,OVOL2,NR5A1,ADCYAP1,MYCN,SUPT5,MYCS,MAML3,CEBPB,CTBP2,PRKDC,GATA6,ACVR1B,PURB,RXRA,SRY,ZBTB7B,PCK1,E2F7,ZBTB18,CREBBP,ZFP950,NR2F1,NFATC3,ESRRG,NFATC1,GRHL1,MAFA,SMAD5,ACVR2A,MED13L,SKI,KLF6,FEV"
"GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","67","456","1571","26481","1.62e-11","1.99e-8","2.48","3.97e-8","1.98e-8","6.31e-12","GO:0006357~regulation of transcription by RNA polymerase II","PHF3,MESP1,MYT1L,MIDEAS,TCF20,IKZF2,HOXA13,YY1,ZFP281,ZXDC,HMGN3,ZFP777,FOXD3,BRD1,POU1F1,NKX6-2,LMO4,EBF3,MITF,PAX5,ARID1A,RUNX3,ARID1B,POU3F3,PAX2,OVOL2,NR5A1,MYCN,SUPT5,MYCS,ADNP,SOS1,ZFP9,CEBPB,CTBP2,TCF7,GATA6,TWIST2,FOXO6,FOXK1,NPAS3,PURB,RXRA,HIVEP3,SRY,ZBTB7B,ZFP784,E2F7,ZFP980,ZBTB18,CREBBP,ZFP950,IRX4,IRF2BP2,ESRRG,NFATC1,ZIC5,GRHL1,MAFA,SMAD5,MED13L,TADA2B,KLF6,ZZZ3,FEV,GNAS,SP9"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","51","456","1062","26481","1.31e-10","1.07e-7","2.79","3.21e-7","1.06e-7","4.54e-11","GO:0000122~negative regulation of transcription by RNA polymerase II","RARG,ZBTB24,MYT1L,ZFP800,CHD3,YBX1,BMI1,YBX3,YY1,ZFP281,FOXD3,POU1F1,NKX6-2,LMO4,MITF,PAX5,DICER1,ARID1A,RUNX3,POU3F3,PAX2,OVOL2,SUPT5,STRAP,ZFP9,CEBPB,TCF7,GATA6,TWIST2,FOXK1,PURB,MTA1,RXRA,MIER3,SRY,ZBTB7B,E2F7,TCFL5,ZBTB18,CREBBP,IRX4,NR2F1,NFATC3,IRF2BP2,NFATC1,SMAD5,NR2F6,SKI,PER3,INSM1,HSPA1A"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","41","456","813","26481","3.06e-9","1.88e-6","2.93","7.53e-6","1.87e-6","9.93e-10","GO:0045893~positive regulation of DNA-templated transcription","MESP1,CEBPB,INO80D,GATA6,FOXK1,CHD3,NPAS3,YY1,MTA1,RXRA,ZFP281,ZXDC,SPIN1,HIVEP3,SRY,NCOA1,POU1F1,CREBBP,PTGES2,NCOA6,IRX4,NFATC3,ESRRG,EBF3,NFATC1,MITF,PAX5,ARID1A,MAFA,RUNX3,ARID1B,PAX2,POU3F3,OVOL2,TADA2B,NR5A1,MYCN,ARL2BP,FEV,MYCS,PRKCQ"
"GOTERM_BP_DIRECT","regulation of DNA-templated transcription","57","456","1568","26481","1.81e-7","8.88e-5","2.11","4.44e-4","8.83e-5","8.35e-8","GO:0006355~regulation of DNA-templated transcription","LIN54,RARG,ZFP407,ZBTB24,MYT1L,YBX1,IKZF2,HOXA13,YY1,EFEMP1,SPIN1,NCOA1,ZFP777,FOXD3,BRD1,POU1F1,NKX6-2,EBF3,MITF,PAX5,RUNX3,POU3F3,MLF1,PAX2,NR5A1,MYCN,MYCS,PRKCQ,ZFP9,L3MBTL3,CEBPB,TCF7,GATA6,FOXO6,FOXK1,ACVR1B,NPAS3,SBNO1,MTA1,RXRA,E2F7,ZFP980,TCFL5,CREBBP,ZFP950,IRX4,NR2F1,NFATC3,ESRRG,NFATC1,GRHL1,WTIP,MAFA,SMAD5,NR2F6,ZZZ3,FEV"
"GOTERM_BP_DIRECT","cell differentiation","35","456","779","26481","7.89e-7","3.23e-4","2.61","1.94e-3","3.21e-4","2.87e-7","GO:0030154~cell differentiation","RARG,CTBP2,MYT1L,NXN,ZFP800,TCF7,IHH,TWIST2,FOXK1,ALKBH5,RXRA,CCDC85B,GNA12,HIVEP3,SRY,ZBTB7B,TCFL5,FOXD3,NKX6-2,CADM1,NR2F1,MITF,PAX5,ZIC5,HSPA2,SMAD5,PAX2,ARHGAP24,NR2F6,NR5A1,ANGPTL6,FEV,PARD3,STRAP,INSM1"
"GOTERM_BP_DIRECT","regulation of signal transduction","12","456","113","26481","4.12e-6","1.45e-3","6.17","1.01e-2","1.44e-3","6.05e-7","GO:0009966~regulation of signal transduction","CNKSR2,PPP1R2,SPRED2,GPC1,HPCAL1,GNAS,SPRY1,GPC4,CD3E,ACVR1B,MALT1,ACVR2A"
"GOTERM_BP_DIRECT","modulation of chemical synaptic transmission","13","456","155","26481","1.62e-5","4.59e-3","4.87","3.91e-2","4.57e-3","3.07e-6","GO:0050804~modulation of chemical synaptic transmission","CHRNA7,CACNA1A,SLC7A11,BTBD9,DNM1,ABR,GABRR1,PLCB4,PRKAR2B,DLGAP1,LRRC4C,PRKACA,GRIA3"
"GOTERM_BP_DIRECT","positive regulation of gene expression","27","456","598","26481","1.68e-5","4.59e-3","2.62","4.05e-2","4.57e-3","6.15e-6","GO:0010628~positive regulation of gene expression","CEBPB,RARG,CSF2,CHRNA7,CD3E,ACVR1B,YY1,TBK1,SRY,ZBTB7B,NTSR1,MARK1,CREBBP,NFATC1,MITF,DICER1,POU3F3,OVOL2,NR5A1,ADCYAP1,MYCN,FEV,MYCS,CRH,FGFR4,HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","nervous system development","20","456","390","26481","5.25e-5","1.29e-2","2.98","1.21e-1","1.28e-2","1.67e-5","GO:0007399~nervous system development","GABRB3,MYLIP,MYT1L,MAGI2,NR2F1,PAX5,NRG2,ARID1A,ACVR1B,ARID1B,PAX2,NR2F6,RXRA,CNTNAP5A,CNTNAP5C,GNG8,DIP2B,INSM1,KCTD16,EPHB3"
"GOTERM_BP_DIRECT","positive regulation of erythrocyte differentiation","6","456","31","26481","1.72e-4","3.85e-2","11.24","3.45e-1","3.83e-2","1.29e-5","GO:0045648~positive regulation of erythrocyte differentiation","BRD1,PRKDC,ACVR1B,HSPA1B,ACVR2A,HSPA1A"
"GOTERM_BP_DIRECT","regulation of gene expression","22","456","508","26481","2.17e-4","4.45e-2","2.51","4.14e-1","4.42e-2","8.22e-5","GO:0010468~regulation of gene expression","RARG,CSF2,NCOA6,GATA6,NR2F1,IHH,TET2,MITF,YBX1,DICER1,ACVR1B,BMI1,ATP1B1,YBX3,COMP,TBK1,C1D,CES1G,ADNP,INSM1,ZBTB7B,FGFR4"
"GOTERM_BP_DIRECT","intracellular signal transduction","21","456","477","26481","2.60e-4","4.75e-2","2.56","4.72e-1","4.72e-2","9.45e-5","GO:0035556~intracellular signal transduction","MAP3K2,VAV3,PHLPP1,SHC3,DGKD,LRRC10B,NFATC1,NRG2,CNKSR2,PPP1R2,ABR,PLCB4,PRKD3,GNA12,PRKG2,PRKCQ,ASB2,ARHGEF7,PLCD3,MAP4K3,MARK1"
"GOTERM_BP_DIRECT","peptidyl-threonine phosphorylation","6","456","34","26481","2.70e-4","4.75e-2","10.25","4.86e-1","4.72e-2","2.25e-5","GO:0018107~peptidyl-threonine phosphorylation","TBK1,SBK1,PRKDC,TTK,ACVR1B,PRKACA"
"GOTERM_BP_DIRECT","neuron projection development","12","456","190","26481","4.74e-4","7.78e-2","3.67","6.89e-1","7.73e-2","1.22e-4","GO:0031175~neuron projection development","PSD,EXT1,ADCYAP1,UNC5A,CDC27,BICDL1,WASF1,NPTXR,RUNX3,LONRF2,CAMSAP1,PTPRG"
"GOTERM_BP_DIRECT","animal organ development","9","456","109","26481","5.98e-4","8.92e-2","4.79","7.70e-1","8.86e-2","1.15e-4","GO:0048513~animal organ development","IRX4,GATA6,HIVEP3,SPRY1,NRG2,INSM1,SCN5A,SOBP,EPHB3"
"GOTERM_BP_DIRECT","signal transduction","34","456","1043","26481","6.16e-4","8.92e-2","1.89","7.80e-1","8.86e-2","3.12e-4","GO:0007165~signal transduction","GM266,DGKD,WNT2B,CDKN1B,CHRNA7,ACVR1B,SHB,PTPRG,TRPM1,ABR,SCUBE1,CNTNAP5A,GNA11,CHN2,CNTNAP5C,GNA12,PRKG2,PDE6B,YWHAG,H60C,UNC5A,MAGI2,PPP2R5A,UNC5C,ARHGAP24,PLCB4,GKAP1,MOB2,TRIP10,GNAS,RADIL,IL17D,PLCD3,NSMAF"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","26","456","715","26481","6.96e-4","9.51e-2","2.11","8.20e-1","9.45e-2","3.16e-4","GO:0045892~negative regulation of DNA-templated transcription","MESP1,CEBPB,L3MBTL3,CDKN1B,CSF2,CTBP2,MIDEAS,GATA6,TWIST2,FOXK1,CHD3,PURB,MTA1,ZFP281,CCDC85B,BAHD1,TRIM66,ZBTB18,ZFP777,NKX6-2,PAX5,WTIP,PAX2,POU3F3,OVOL2,C1D"
"GOTERM_BP_DIRECT","negative regulation of gene expression","18","456","408","26481","7.74e-4","1.00e-1","2.56","8.51e-1","9.96e-2","2.87e-4","GO:0010629~negative regulation of gene expression","DICER1,CD3E,ACVR1B,SMAD5,OVOL2,YY1,TBK1,RXRA,MYCN,ZFP281,NOCT,MYCS,CRH,SRY,ADNP,ZBTB7B,FGFR4,MARK1"
"GOTERM_BP_DIRECT","heparan sulfate proteoglycan biosynthetic process","5","456","29","26481","1.45e-3","1.79e-1","10.01","9.72e-1","1.78e-1","1.25e-4","GO:0015012~heparan sulfate proteoglycan biosynthetic process","HS3ST3B1,EXT1,HS6ST1,HS3ST4,HS3ST1"
"GOTERM_BP_DIRECT","tissue development","7","456","73","26481","1.60e-3","1.85e-1","5.57","9.81e-1","1.84e-1","2.62e-4","GO:0009888~tissue development","NR5A1,LMO4,TCF7,HIVEP3,INSM1,PAX5,PAX2"
"GOTERM_BP_DIRECT","formin-nucleated actin cable assembly","3","456","4","26481","1.73e-3","1.85e-1","43.55","9.86e-1","1.84e-1","2.00e-5","GO:0070649~formin-nucleated actin cable assembly","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","establishment of meiotic spindle localization","3","456","4","26481","1.73e-3","1.85e-1","43.55","9.86e-1","1.84e-1","2.00e-5","GO:0051295~establishment of meiotic spindle localization","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","in utero embryonic development","16","456","366","26481","1.81e-3","1.86e-1","2.54","9.88e-1","1.85e-1","6.72e-4","GO:0001701~in utero embryonic development","ZBTB18,FOXD3,EXOC3L2,NXN,GATA6,CELF4,IHH,UBR3,YBX1,ACVR1B,BMI1,YBX3,RXRA,SH3PXD2A,GNA12,GSE1"
"GOTERM_BP_DIRECT","negative regulation of glial cell proliferation","4","456","16","26481","2.39e-3","2.26e-1","14.52","9.97e-1","2.25e-1","1.34e-4","GO:0060253~negative regulation of glial cell proliferation","ADCYAP1,NTM,IDH2,DICER1"
"GOTERM_BP_DIRECT","neural tube closure","8","456","106","26481","2.39e-3","2.26e-1","4.38","9.97e-1","2.25e-1","5.03e-4","GO:0001843~neural tube closure","SKI,TRIM71,RARG,LMO4,ZIC5,ARID1A,PRKACA,PAX2"
"GOTERM_BP_DIRECT","regulation of voltage-gated calcium channel activity","3","456","6","26481","4.22e-3","3.85e-1","29.04","1.00e+0","3.82e-1","9.76e-5","GO:1901385~regulation of voltage-gated calcium channel activity","HPCAL1,CACNA1A,CABP1"
"GOTERM_BP_DIRECT","bone morphogenesis","5","456","39","26481","4.40e-3","3.86e-1","7.45","1.00e+0","3.84e-1","5.26e-4","GO:0060349~bone morphogenesis","SKI,EXT1,COMP,RARG,ATG9B"
"GOTERM_BP_DIRECT","camera-type eye development","7","456","95","26481","5.98e-3","5.08e-1","4.28","1.00e+0","5.04e-1","1.29e-3","GO:0043010~camera-type eye development","SKI,RARG,RXRA,EFEMP1,IHH,MITF,PAX2"
"GOTERM_BP_DIRECT","intracellular transport","3","456","8","26481","7.70e-3","6.32e-1","21.78","1.00e+0","6.28e-1","2.66e-4","GO:0046907~intracellular transport","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","monoatomic ion transport","11","456","240","26481","8.96e-3","7.08e-1","2.66","1.00e+0","7.04e-1","3.14e-3","GO:0006811~monoatomic ion transport","SLC12A2,GABRB3,TRPM1,KCNG2,GABRR1,CHRNA7,HVCN1,CACNA1A,SCN5A,CNNM3,GRIA3"
"GOTERM_BP_DIRECT","cardiac muscle cell differentiation","5","456","48","26481","9.22e-3","7.08e-1","6.05","1.00e+0","7.04e-1","1.38e-3","GO:0055007~cardiac muscle cell differentiation","MESP1,RXRA,GATA6,ARID1A,ASB2"
"GOTERM_BP_DIRECT","entrainment of circadian clock by photoperiod","4","456","26","26481","9.77e-3","7.08e-1","8.93","1.00e+0","7.04e-1","9.61e-4","GO:0043153~entrainment of circadian clock by photoperiod","PER3,MTA1,PDE6B,NR2F6"
"GOTERM_BP_DIRECT","polar body extrusion after meiotic divisions","3","456","9","26481","9.79e-3","7.08e-1","19.36","1.00e+0","7.04e-1","3.94e-4","GO:0040038~polar body extrusion after meiotic divisions","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","positive regulation of double-strand break repair","5","456","50","26481","1.06e-2","7.36e-1","5.81","1.00e+0","7.32e-1","1.66e-3","GO:2000781~positive regulation of double-strand break repair","SPIRE2,SPIRE1,FMN2,ARID1A,ARID1B"
"GOTERM_BP_DIRECT","brain development","11","456","247","26481","1.08e-2","7.36e-1","2.59","1.00e+0","7.32e-1","3.89e-3","GO:0007420~brain development","GABRB3,B4GALT2,EXT1,ABR,PRKDC,NCOA6,DMXL2,UNC5C,SLC7A11,BMI1,POU3F3"
