"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","cellular response to amino acid starvation","3","49","64","26481","6.04e-3","1.00e+0","25.33","9.25e-1","1.00e+0","2.29e-4","GO:0034198~cellular response to amino acid starvation","EIF2AK3,KLHL22,MAPK1"
"GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle","3","49","78","26481","8.85e-3","1.00e+0","20.79","9.78e-1","1.00e+0","4.11e-4","GO:0000082~G1/S transition of mitotic cell cycle","CAMK2D,CACUL1,EIF4E"
"GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process","4","49","255","26481","1.11e-2","1.00e+0","8.48","9.92e-1","1.00e+0","1.27e-3","GO:0006511~ubiquitin-dependent protein catabolic process","COP1,KLHL22,UBR2,CACUL1"
"GOTERM_BP_DIRECT","cellular response to L-leucine","2","49","13","26481","2.33e-2","1.00e+0","83.14","1.00e+0","1.00e+0","2.58e-4","GO:0071233~cellular response to L-leucine","KLHL22,UBR2"
"GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process","4","49","423","26481","4.12e-2","1.00e+0","5.11","1.00e+0","1.00e+0","7.72e-3","GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process","COP1,EIF2AK3,KLHL22,UBR2"
"GOTERM_BP_DIRECT","lung morphogenesis","2","49","31","26481","5.47e-2","1.00e+0","34.87","1.00e+0","1.00e+0","1.51e-3","GO:0060425~lung morphogenesis","SEC24B,MAPK1"
"GOTERM_BP_DIRECT","insulin-like growth factor receptor signaling pathway","2","49","31","26481","5.47e-2","1.00e+0","34.87","1.00e+0","1.00e+0","1.51e-3","GO:0048009~insulin-like growth factor receptor signaling pathway","EIF2AK3,MAPK1"
"GOTERM_BP_DIRECT","regulation of neuronal synaptic plasticity","2","49","33","26481","5.81e-2","1.00e+0","32.75","1.00e+0","1.00e+0","1.71e-3","GO:0048168~regulation of neuronal synaptic plasticity","CAMK2D,JPH3"
"GOTERM_BP_DIRECT","positive regulation of ERK1 and ERK2 cascade","3","49","228","26481","6.43e-2","1.00e+0","7.11","1.00e+0","1.00e+0","8.67e-3","GO:0070374~positive regulation of ERK1 and ERK2 cascade","CAMK2D,GCNT2,ATP6V0C"
"GOTERM_BP_DIRECT","post-transcriptional regulation of gene expression","2","49","42","26481","7.34e-2","1.00e+0","25.73","1.00e+0","1.00e+0","2.75e-3","GO:0010608~post-transcriptional regulation of gene expression","GCNT2,TENT2"
"GOTERM_BP_DIRECT","protein ubiquitination","4","49","545","26481","7.60e-2","1.00e+0","3.97","1.00e+0","1.00e+0","1.81e-2","GO:0016567~protein ubiquitination","COP1,TULP4,KLHL22,UBR2"
"GOTERM_BP_DIRECT","actin cytoskeleton organization","3","49","259","26481","8.02e-2","1.00e+0","6.26","1.00e+0","1.00e+0","1.22e-2","GO:0030036~actin cytoskeleton organization","NISCH,FMN1,ADD2"

