"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","ribosomal small subunit biogenesis","3","61","90","26481","1.78e-2","1.00e+0","14.47","9.99e-1","1.00e+0","1.18e-3","GO:0042274~ribosomal small subunit biogenesis","WDR36,UTP4,RIOK2"
"GOTERM_BP_DIRECT","positive regulation of glutamate secretion","2","61","13","26481","2.91e-2","1.00e+0","66.79","1.00e+0","1.00e+0","4.01e-4","GO:0014049~positive regulation of glutamate secretion","GABBR1,DPYSL2"
"GOTERM_BP_DIRECT","cell differentiation","6","61","779","26481","3.15e-2","1.00e+0","3.34","1.00e+0","1.00e+0","8.95e-3","GO:0030154~cell differentiation","NUDT21,CATSPER2,DPYSL2,PDLIM7,AHDC1,SHANK1"
"GOTERM_BP_DIRECT","RNA metabolic process","2","61","17","26481","3.78e-2","1.00e+0","51.07","1.00e+0","1.00e+0","6.94e-4","GO:0016070~RNA metabolic process","PARN,DDX54"
"GOTERM_BP_DIRECT","termination of RNA polymerase III transcription","2","61","17","26481","3.78e-2","1.00e+0","51.07","1.00e+0","1.00e+0","6.94e-4","GO:0006386~termination of RNA polymerase III transcription","POLR3F,POLR3G"
"GOTERM_BP_DIRECT","memory","3","61","137","26481","3.87e-2","1.00e+0","9.51","1.00e+0","1.00e+0","3.92e-3","GO:0007613~memory","ROGDI,HTR2A,SHANK1"
"GOTERM_BP_DIRECT","maturation of SSU-rRNA","2","61","18","26481","4.00e-2","1.00e+0","48.23","1.00e+0","1.00e+0","7.80e-4","GO:0030490~maturation of SSU-rRNA","UTP4,RIOK2"
"GOTERM_BP_DIRECT","synapse maturation","2","61","22","26481","4.87e-2","1.00e+0","39.46","1.00e+0","1.00e+0","1.17e-3","GO:0060074~synapse maturation","SYBU,SHANK1"
"GOTERM_BP_DIRECT","transcription initiation at RNA polymerase III promoter","2","61","24","26481","5.30e-2","1.00e+0","36.18","1.00e+0","1.00e+0","1.39e-3","GO:0006384~transcription initiation at RNA polymerase III promoter","POLR3F,POLR3G"
"GOTERM_BP_DIRECT","transcription by RNA polymerase III","2","61","24","26481","5.30e-2","1.00e+0","36.18","1.00e+0","1.00e+0","1.39e-3","GO:0006383~transcription by RNA polymerase III","POLR3F,POLR3G"
"GOTERM_BP_DIRECT","cytoskeleton organization","3","61","166","26481","5.46e-2","1.00e+0","7.85","1.00e+0","1.00e+0","6.67e-3","GO:0007010~cytoskeleton organization","DPYSL2,SH3BGRL3,PDZD8"
"GOTERM_BP_DIRECT","regulation of proteolysis","2","61","26","26481","5.73e-2","1.00e+0","33.39","1.00e+0","1.00e+0","1.64e-3","GO:0030162~regulation of proteolysis","RHOBTB3,NEDD8"
"GOTERM_BP_DIRECT","regulation of insulin secretion involved in cellular response to glucose stimulus","2","61","30","26481","6.58e-2","1.00e+0","28.94","1.00e+0","1.00e+0","2.18e-3","GO:0061178~regulation of insulin secretion involved in cellular response to glucose stimulus","EFNA5,SYBU"
"GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process","4","61","423","26481","7.11e-2","1.00e+0","4.11","1.00e+0","1.00e+0","1.64e-2","GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process","UBE2H,UBXN2A,RHOBTB3,RBCK1"
"GOTERM_BP_DIRECT","regulation of cell morphogenesis","2","61","33","26481","7.22e-2","1.00e+0","26.31","1.00e+0","1.00e+0","2.63e-3","GO:0022604~regulation of cell morphogenesis","EFNA5,PDZD8"
"GOTERM_BP_DIRECT","regulation of mitotic metaphase/anaphase transition","2","61","36","26481","7.85e-2","1.00e+0","24.12","1.00e+0","1.00e+0","3.13e-3","GO:0030071~regulation of mitotic metaphase/anaphase transition","BCL7A,RIOK2"
"GOTERM_BP_DIRECT","synaptic membrane adhesion","2","61","42","26481","9.09e-2","1.00e+0","20.67","1.00e+0","1.00e+0","4.24e-3","GO:0099560~synaptic membrane adhesion","TENM1,EFNA5"
"GOTERM_BP_DIRECT","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","2","61","43","26481","9.30e-2","1.00e+0","20.19","1.00e+0","1.00e+0","4.44e-3","GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","PABPC4,PARN"
"GOTERM_BP_DIRECT","positive regulation of innate immune response","2","61","43","26481","9.30e-2","1.00e+0","20.19","1.00e+0","1.00e+0","4.44e-3","GO:0045089~positive regulation of innate immune response","POLR3F,POLR3G"

