"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","protein O-linked glycosylation via mannose","3","79","18","26481","1.27e-3","2.91e-1","55.87","4.42e-1","2.91e-1","2.02e-5","GO:0035269~protein O-linked glycosylation via mannose","NUS1,CRPPA,TMTC4"
"GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process","7","79","423","26481","1.56e-3","2.91e-1","5.55","5.12e-1","2.91e-1","2.72e-4","GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process","PSMB7,UBE2W,CDK7,UBE2I,NPLOC4,PLAA,RNF4"
"GOTERM_BP_DIRECT","positive regulation of neuron migration","3","79","22","26481","1.90e-3","2.91e-1","45.71","5.83e-1","2.91e-1","3.78e-5","GO:2001224~positive regulation of neuron migration","TBC1D24,PLAA,MAPK8IP3"
"GOTERM_BP_DIRECT","ribosome biogenesis","3","79","69","26481","1.77e-2","1.00e+0","14.57","1.00e+0","1.00e+0","1.16e-3","GO:0042254~ribosome biogenesis","GNL3L,XPO1,WDR75"
"GOTERM_BP_DIRECT","axon guidance","4","79","200","26481","2.13e-2","1.00e+0","6.70","1.00e+0","1.00e+0","3.05e-3","GO:0007411~axon guidance","SEMA5A,CRPPA,ETV1,MAPK8IP3"
"GOTERM_BP_DIRECT","translational initiation","3","79","77","26481","2.17e-2","1.00e+0","13.06","1.00e+0","1.00e+0","1.59e-3","GO:0006413~translational initiation","EIF4E3,DELE1,DHX29"
"GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process","4","79","255","26481","3.96e-2","1.00e+0","5.26","1.00e+0","1.00e+0","7.18e-3","GO:0006511~ubiquitin-dependent protein catabolic process","NPLOC4,PSMD13,RNF150,UBE3B"
"GOTERM_BP_DIRECT","melanosome assembly","2","79","20","26481","5.73e-2","1.00e+0","33.52","1.00e+0","1.00e+0","1.61e-3","GO:1903232~melanosome assembly","AP3S2,SLC24A5"
"GOTERM_BP_DIRECT","RNA polymerase II transcription initiation surveillance","2","79","22","26481","6.29e-2","1.00e+0","30.47","1.00e+0","1.00e+0","1.95e-3","GO:0160240~RNA polymerase II transcription initiation surveillance","CDK7,INTS14"
"GOTERM_BP_DIRECT","phosphatidylinositol dephosphorylation","2","79","25","26481","7.11e-2","1.00e+0","26.82","1.00e+0","1.00e+0","2.52e-3","GO:0046856~phosphatidylinositol dephosphorylation","MTMR6,MTMR7"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase I","2","79","26","26481","7.39e-2","1.00e+0","25.78","1.00e+0","1.00e+0","2.73e-3","GO:0045943~positive regulation of transcription by RNA polymerase I","WDR75,PHF8"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","6","79","813","26481","9.18e-2","1.00e+0","2.47","1.00e+0","1.00e+0","3.45e-2","GO:0045893~positive regulation of DNA-templated transcription","ZBTB17,PHF20,ETV1,RNF4,KDM7A,PHF8"
"GOTERM_BP_DIRECT","response to oxidative stress","3","79","177","26481","9.60e-2","1.00e+0","5.68","1.00e+0","1.00e+0","1.60e-2","GO:0006979~response to oxidative stress","PSMB7,PRDX6,HMOX2"

