"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","chromatin remodeling","7","98","334","26481","1.45e-3","5.88e-1","5.66","6.56e-1","5.88e-1","2.47e-4","GO:0006338~chromatin remodeling","SETD1B,ACTR5,PSIP1,ATM,RNF2,HCFC1,BPTF"
"GOTERM_BP_DIRECT","positive regulation of gene expression","9","98","598","26481","1.60e-3","5.88e-1","4.07","6.92e-1","5.88e-1","3.80e-4","GO:0010628~positive regulation of gene expression","ATF2,SLC24A4,CDK6,DNAJA4,WNT7B,HNRNPD,ATM,CD46,HCFC1"
"GOTERM_BP_DIRECT","in utero embryonic development","6","98","366","26481","1.12e-2","1.00e+0","4.43","1.00e+0","1.00e+0","2.42e-3","GO:0001701~in utero embryonic development","ATF2,CCNK,DIAPH3,WNT7B,DPH5,EIF4E2"
"GOTERM_BP_DIRECT","mRNA stabilization","3","98","47","26481","1.29e-2","1.00e+0","17.25","1.00e+0","1.00e+0","7.08e-4","GO:0048255~mRNA stabilization","ZC3H14,LARP1B,RBM10"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","10","98","1062","26481","1.59e-2","1.00e+0","2.54","1.00e+0","1.00e+0","5.96e-3","GO:0000122~negative regulation of transcription by RNA polymerase II","ATF2,NIF3L1,CDK6,ZFP955B,FOXO3,NFE2L1,RNF2,RBM10,HCFC1,BPTF"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","11","98","1346","26481","2.56e-2","1.00e+0","2.21","1.00e+0","1.00e+0","1.10e-2","GO:0045944~positive regulation of transcription by RNA polymerase II","ATF2,CCNK,BLOC1S2,UBE2E1,HNRNPD,PSIP1,ATM,FOXO3,NFE2L1,HCFC1,BPTF"
"GOTERM_BP_DIRECT","apoptotic signaling pathway","3","98","70","26481","2.73e-2","1.00e+0","11.58","1.00e+0","1.00e+0","2.25e-3","GO:0097190~apoptotic signaling pathway","CASP8AP2,SGPL1,APAF1"
"GOTERM_BP_DIRECT","mRNA splicing, via spliceosome","4","98","179","26481","2.82e-2","1.00e+0","6.04","1.00e+0","1.00e+0","4.45e-3","GO:0000398~mRNA splicing, via spliceosome","PRPF4,LRRIQ1,FRA10AC1,RBM10"
"GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","12","98","1571","26481","2.86e-2","1.00e+0","2.06","1.00e+0","1.00e+0","1.32e-2","GO:0006357~regulation of transcription by RNA polymerase II","ZFP655,ATF2,ZFP445,CCNK,ZFP180,ZFP362,ZFP955B,FOXO3,ZKSCAN16,ZFP729B,NFE2L1,BPTF"
"GOTERM_BP_DIRECT","mitochondrial outer membrane permeabilization","2","98","8","26481","2.89e-2","1.00e+0","67.55","1.00e+0","1.00e+0","3.74e-4","GO:0097345~mitochondrial outer membrane permeabilization","BLOC1S2,VDAC2"
"GOTERM_BP_DIRECT","double-strand break repair","3","98","84","26481","3.81e-2","1.00e+0","9.65","1.00e+0","1.00e+0","3.77e-3","GO:0006302~double-strand break repair","EXD2,ACTR5,ATM"
"GOTERM_BP_DIRECT","DNA damage response","5","98","351","26481","4.03e-2","1.00e+0","3.85","1.00e+0","1.00e+0","9.90e-3","GO:0006974~DNA damage response","ATF2,CCNK,CDK6,RFWD3,ATM"
"GOTERM_BP_DIRECT","protein ubiquitination","6","98","545","26481","5.01e-2","1.00e+0","2.97","1.00e+0","1.00e+0","1.59e-2","GO:0016567~protein ubiquitination","RNF146,BRAP,ZNRF1,RFWD3,UBE2E1,RNF2"
"GOTERM_BP_DIRECT","DNA double-strand break processing","2","98","15","26481","5.36e-2","1.00e+0","36.03","1.00e+0","1.00e+0","1.38e-3","GO:0000729~DNA double-strand break processing","EXD2,ATM"
"GOTERM_BP_DIRECT","positive regulation of neuron apoptotic process","3","98","102","26481","5.40e-2","1.00e+0","7.95","1.00e+0","1.00e+0","6.48e-3","GO:0043525~positive regulation of neuron apoptotic process","ATF2,ATM,FOXO3"
"GOTERM_BP_DIRECT","cholesterol metabolic process","3","98","103","26481","5.50e-2","1.00e+0","7.87","1.00e+0","1.00e+0","6.65e-3","GO:0008203~cholesterol metabolic process","INSIG2,NFE2L1,ABCG1"
"GOTERM_BP_DIRECT","hematopoietic progenitor cell differentiation","3","98","107","26481","5.88e-2","1.00e+0","7.58","1.00e+0","1.00e+0","7.39e-3","GO:0002244~hematopoietic progenitor cell differentiation","ATF2,CDK6,BLOC1S2"
"GOTERM_BP_DIRECT","positive regulation of regulatory T cell differentiation","2","98","17","26481","6.05e-2","1.00e+0","31.79","1.00e+0","1.00e+0","1.78e-3","GO:0045591~positive regulation of regulatory T cell differentiation","FOXO3,CD46"
