"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","regulation of actin cytoskeleton organization","5","70","105","26481","1.65e-4","1.05e-1","18.01","9.96e-2","1.05e-1","8.78e-6","GO:0032956~regulation of actin cytoskeleton organization","CDC42,ABL1,PTK2B,CORO2B,HRAS"
"GOTERM_BP_DIRECT","cytoplasmic translation","5","70","149","26481","6.26e-4","1.99e-1","12.69","3.28e-1","1.99e-1","4.75e-5","GO:0002181~cytoplasmic translation","RPTOR,RPS4X,RPL27A,FAU,RPL6"
"GOTERM_BP_DIRECT","positive regulation of translation","4","70","95","26481","1.97e-3","4.17e-1","15.93","7.14e-1","4.17e-1","1.19e-4","GO:0045727~positive regulation of translation","RPS4X,RBM4,PTK2B,EIF4G3"
"GOTERM_BP_DIRECT","translation","5","70","272","26481","5.58e-3","8.84e-1","6.95","9.71e-1","8.84e-1","7.74e-4","GO:0006412~translation","RPS4X,AIMP1,RPL27A,FAU,RPL6"
"GOTERM_BP_DIRECT","neuropilin signaling pathway","2","70","3","26481","7.80e-3","9.89e-1","252.20","9.93e-1","9.89e-1","2.06e-5","GO:0038189~neuropilin signaling pathway","CDC42,ABL1"
"GOTERM_BP_DIRECT","protein folding","4","70","172","26481","1.03e-2","1.00e+0","8.80","9.99e-1","1.00e+0","1.13e-3","GO:0006457~protein folding","AHSA2,FKBP8,PPIG,PPIB"
"GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","10","70","1571","26481","2.04e-2","1.00e+0","2.41","1.00e+0","1.00e+0","8.06e-3","GO:0006357~regulation of transcription by RNA polymerase II","ZFP940,NFIX,AEBP2,MAGED1,ZFP866,ZKSCAN3,ZBTB43,GRHL1,HRAS,MED17"
"GOTERM_BP_DIRECT","positive regulation of cell growth","3","70","97","26481","2.66e-2","1.00e+0","11.70","1.00e+0","1.00e+0","2.18e-3","GO:0030307~positive regulation of cell growth","RPTOR,CDC42,PTK2B"
"GOTERM_BP_DIRECT","neural tube closure","3","70","106","26481","3.13e-2","1.00e+0","10.71","1.00e+0","1.00e+0","2.81e-3","GO:0001843~neural tube closure","MTHFD1,SUFU,ABL1"
"GOTERM_BP_DIRECT","Golgi organization","3","70","108","26481","3.24e-2","1.00e+0","10.51","1.00e+0","1.00e+0","2.96e-3","GO:0007030~Golgi organization","CDC42,SEC16A,PTK2B"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","3","70","110","26481","3.35e-2","1.00e+0","10.32","1.00e+0","1.00e+0","3.12e-3","GO:0007229~integrin-mediated signaling pathway","CDC42,ABL1,PTK2B"
"GOTERM_BP_DIRECT","response to endoplasmic reticulum stress","3","70","110","26481","3.35e-2","1.00e+0","10.32","1.00e+0","1.00e+0","3.12e-3","GO:0034976~response to endoplasmic reticulum stress","SCAMP5,SEC16A,ABL1"
"GOTERM_BP_DIRECT","negative regulation of long-term synaptic potentiation","2","70","14","26481","3.59e-2","1.00e+0","54.04","1.00e+0","1.00e+0","6.14e-4","GO:1900272~negative regulation of long-term synaptic potentiation","ABL1,2510002D24RIK"
"GOTERM_BP_DIRECT","endothelin receptor signaling pathway","2","70","14","26481","3.59e-2","1.00e+0","54.04","1.00e+0","1.00e+0","6.14e-4","GO:0086100~endothelin receptor signaling pathway","CDC42,PTK2B"
"GOTERM_BP_DIRECT","positive regulation of JNK cascade","3","70","122","26481","4.04e-2","1.00e+0","9.30","1.00e+0","1.00e+0","4.17e-3","GO:0046330~positive regulation of JNK cascade","CDC42,PTK2B,HRAS"
"GOTERM_BP_DIRECT","regulation of gene expression","5","70","508","26481","4.36e-2","1.00e+0","3.72","1.00e+0","1.00e+0","1.11e-2","GO:0010468~regulation of gene expression","RBM4,UPF1,FKBP8,HRAS,TRIM44"
"GOTERM_BP_DIRECT","protein phosphorylation","4","70","347","26481","6.21e-2","1.00e+0","4.36","1.00e+0","1.00e+0","1.35e-2","GO:0006468~protein phosphorylation","CDC42,SLK,ABL1,PTK2B"
"GOTERM_BP_DIRECT","purine nucleotide biosynthetic process","2","70","25","26481","6.32e-2","1.00e+0","30.26","1.00e+0","1.00e+0","1.99e-3","GO:0006164~purine nucleotide biosynthetic process","PRPSAP1,MTHFD1"
"GOTERM_BP_DIRECT","negative regulation of cellular senescence","2","70","26","26481","6.56e-2","1.00e+0","29.10","1.00e+0","1.00e+0","2.15e-3","GO:2000773~negative regulation of cellular senescence","ZKSCAN3,ABL1"
"GOTERM_BP_DIRECT","actin filament organization","3","70","163","26481","6.76e-2","1.00e+0","6.96","1.00e+0","1.00e+0","9.27e-3","GO:0007015~actin filament organization","CDC42,PTK2B,CORO2B"
"GOTERM_BP_DIRECT","focal adhesion assembly","2","70","33","26481","8.25e-2","1.00e+0","22.93","1.00e+0","1.00e+0","3.45e-3","GO:0048041~focal adhesion assembly","PTK2B,CORO2B"
"GOTERM_BP_DIRECT","adherens junction organization","2","70","34","26481","8.49e-2","1.00e+0","22.25","1.00e+0","1.00e+0","3.66e-3","GO:0034332~adherens junction organization","EFNB2,CDC42"
"GOTERM_BP_DIRECT","phagocytosis, engulfment","2","70","38","26481","9.45e-2","1.00e+0","19.91","1.00e+0","1.00e+0","4.55e-3","GO:0006911~phagocytosis, engulfment","CDC42,CLCN3"
"GOTERM_BP_DIRECT","sprouting angiogenesis","2","70","40","26481","9.92e-2","1.00e+0","18.91","1.00e+0","1.00e+0","5.04e-3","GO:0002040~sprouting angiogenesis","CDC42,PTK2B"
"GOTERM_BP_DIRECT","blood vessel morphogenesis","2","70","40","26481","9.92e-2","1.00e+0","18.91","1.00e+0","1.00e+0","5.04e-3","GO:0048514~blood vessel morphogenesis","AIMP1,EFNB2"

