"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.42034455420135e-47,-2.87210437107062,0.136,1,1.90046031036458e-42,"pAAV-CAG-GFP"
9.02509387945297e-46,10.0974873164095,1,0,1.82072243924084e-41,"Paav-CAG-RARA"
9.02509387945297e-46,9.20750676699541,1,0,1.82072243924084e-41,"paav-cag-rarg-orf"
5.58176384153298e-15,1.92390073317745,0.832,0.489,1.12606503739086e-10,"Rarg"
2.54105780176362e-06,2.3698601646908,0.336,0.078,0.0512633000927793,"Rara"
6.28387418230094e-06,-3.33594335908414,0.008,0.111,0.126770877753739,"Ssh1"
8.53545365493275e-05,-3.16635389169139,0.016,0.111,1,"Gm5577"
0.000126988010917746,-0.544196536151275,0.728,0.856,1,"Otud7a"
0.000179796419818733,-6.12948246397636,0,0.056,1,"Otof"
0.000196201476530233,1.3176929833115,0.384,0.178,1,"Srrm3"
0.000298972184587705,-1.04349073556905,0.244,0.444,1,"Pitpna"
0.000361546569977626,-2.72307093946445,0.016,0.1,1,"Atp5g3"
0.000404505602985172,-3.49783768755679,0.008,0.078,1,"Herpud1"
0.000420081734797177,1.54924980403133,0.228,0.056,1,"Rab27b"
0.000626276552546702,1.12587814011959,0.36,0.156,1,"Mapk1"
0.000700689888180413,-1.64500846634468,0.052,0.167,1,"Arhgef17"
0.000942411372185823,0.866903589399972,0.46,0.233,1,"Arih1"
0.000952982661696299,5.39170329873265,0.112,0,1,"Eif2ak3"
0.00110087637353735,-1.5048295539218,0.084,0.211,1,"Rnf214"
0.00113426519766772,-0.51221862130851,0.712,0.822,1,"Efna5"
0.00140174894419075,-2.26438918305234,0.016,0.089,1,"Sdc3"
0.00150552751153922,-1.65964994174254,0.064,0.178,1,"Eif4enif1"
0.00152542535113584,-3.78442502620924,0.008,0.067,1,"Sh3bgrl3"
0.00152607111712423,-0.235995912654274,0.988,0.978,1,"Nav3"
0.00155590472849318,-3.0525850209666,0.004,0.056,1,"Mrpl35"
0.00156417271409291,4.05442512642413,0.124,0.011,1,"Gcnt2"
0.00168243095326062,-2.72829876800044,0.008,0.067,1,"Stambp"
0.00171110015086356,-2.10685550075046,0.012,0.078,1,"Gcc1"
0.00174921179889677,-0.789982207276827,0.28,0.444,1,"Scg5"
0.00176321414867511,-0.911466816958585,0.26,0.411,1,"Rb1cc1"
0.00184578063871047,-1.64013400259186,0.06,0.167,1,"Tmem232"
0.00189578643342627,1.27983584729194,0.296,0.133,1,"Susd4"
0.0024487273114579,-0.232434913577917,1,1,1,"Pcdh9"
0.00276066708522636,-1.28208238340542,0.092,0.211,1,"Cep290"
0.00277529251822428,1.43049783978328,0.248,0.1,1,"Xpo7"
0.0028248136972974,-1.41910876347888,0.048,0.144,1,"Trmt11"
0.00296875679587711,-1.13646518415824,0.204,0.333,1,"D630045J12Rik"
0.00297645609437513,3.06126516093624,0.132,0.022,1,"Lemd3"
0.00316999557838394,-1.32583309397567,0.132,0.256,1,"Micu1"
0.00318468492495295,-2.36467772806588,0.02,0.089,1,"Gpc4"
0.00340128761665196,-0.208457311840352,0.992,1,1,"Magi2"
0.00360612831211406,1.63510608339599,0.172,0.044,1,"Ccnl2"
0.00363096639384174,0.672968059294037,0.376,0.178,1,"Dmxl1"
0.00370717638619423,5.1390473990063,0.088,0,1,"Trmt9b"
0.00377316346233066,1.42261004649734,0.224,0.089,1,"Fam81a"
0.00392714653026844,1.54251021365448,0.2,0.067,1,"Pde7a"
0.00403803579230281,-0.274868461803854,0.868,0.911,1,"Ryr2"
0.00404605888672018,1.53656259641374,0.168,0.044,1,"Tent2"
0.00426209234553368,-2.72513294970229,0.016,0.078,1,"Stard13"
0.00445873314210671,-0.653702871852892,0.48,0.611,1,"Mapt"
0.00455771317036868,-0.982850717285397,0.156,0.289,1,"Usp46"
0.00460344013704021,-0.27935889785618,0.936,0.956,1,"Plcb1"
0.00460890753372479,2.46706989961912,0.108,0.011,1,"Ip6k2"
0.00464136017716158,2.09202709702499,0.144,0.033,1,"Dhx9"
0.00472776777411145,-2.04128303417661,0.04,0.122,1,"St6gal1"
0.0048737648171377,-2.21705307636373,0.028,0.1,1,"Zfp386"
0.0050447409984449,-1.43439017244177,0.076,0.178,1,"Tmem167"
0.00508197041234335,-1.4259681481491,0.076,0.178,1,"Mfap3l"
0.00514131727526959,-1.81310913603789,0.04,0.122,1,"Cct8"
0.00516586524160188,-0.40263193301838,0.74,0.833,1,"Tanc2"
0.00518881369979309,-2.85180834222614,0.012,0.067,1,"Gpr108"
