Gene,FC of Combo,FC of RARA,FC of RARG,Direction
1110051M20Rik,0.638340041515804,0.761105624752171,0.670360152796538,Up
A830036E02Rik,1.23413753813539,1.10023940906449,1.16390185082847,Up
Add2,0.577800338744796,0.719258900996785,0.815772333708657,Up
Atp6v0c,1.36927421795553,1.04481607348587,1.05768494876963,Up
Cacul1,1.87766571236313,1.91829783073916,1.65083482054606,Up
Camk2d,0.944599961088119,1.09751444280992,1.29482585105927,Up
Capn15,2.07976369499085,2.69047374698858,2.90271116448431,Up
Capn7,2.40829217220601,2.17140279021882,2.13634198139293,Up
Ccdc88c,1.93190603372077,2.098616068056,2.31105986767031,Up
Ccnl2,1.63510608339599,1.7268667817217,1.53786108727236,Up
Cenpc1,1.94166028550722,1.74598610001765,1.9422445730301,Up
Cfap69,1.38422944509373,1.30036883964071,1.48519901192382,Up
Col4a1,1.39508284538153,1.40098039741887,1.6842256826667,Up
Cop1,0.99570518533723,0.942266265050674,1.13457593799943,Up
E230029C05Rik,3.24121354454296,2.81183964496107,2.78611438466012,Up
Eif2ak3,5.39170329873265,4.7422800944112,5.00588283296889,Up
Eif4e,1.6276236305233,1.32684337588881,1.29175366266015,Up
Fam81a,1.42261004649734,1.04121646889909,1.5443706483202,Up
Fmn1,0.825157176401799,0.767804278264798,0.889105800961447,Up
Gcnt2,4.05442512642413,3.69593505809296,2.95381431180594,Up
Ggps1,1.56444518813538,1.18778978230316,1.45471428660899,Up
Gm2164,0.728652162362826,0.675837313296009,0.849190670613486,Up
Gnal,1.18933081779982,1.29902234436033,1.4803684608058,Up
Gspt2,4.47499960589797,4.64059931175492,4.72509594153801,Up
Ip6k2,2.46706989961912,2.12893910871052,1.94444707955585,Up
Jph3,2.40234784422697,2.46340635151494,2.61554182255608,Up
Kif3c,1.73813848562243,1.76550288648456,1.89810545870674,Up
Klhl22,1.53434387854544,1.61434020693865,2.17264922560678,Up
Lemd3,3.06126516093624,2.49480321712285,3.1085729143013,Up
Luc7l,1.4764703051257,1.33294803347031,1.57802495464176,Up
Mapk1,1.12587814011959,0.827395225435215,0.793853989548949,Up
Mboat2,0.778357270853083,0.741080060126009,0.79041828370268,Up
Mon2,1.03899673564471,1.08422250430509,0.998240616711854,Up
Nexmif,0.535981611034762,0.682800967303203,0.845205919963402,Up
Nisch,1.3130605431579,1.18391112379656,1.05440325553137,Up
Npepps,1.11876059583139,0.983937529982324,1.28717532375156,Up
Pcmt1,0.940607776299697,0.840699459794272,1.08489135443196,Up
Pde7a,1.54251021365448,1.74454776483026,1.62956605101398,Up
Prim2,4.51929680568578,4.69770052211537,4.74463653992268,Up
Rab27b,1.54924980403133,1.36149731623534,1.28308468946881,Up
Sec24b,0.749650767486151,0.822360567583858,0.813515279354109,Up
Slc7a6,0.93481079741864,1.03462116776487,1.07282067074155,Up
Spata7,1.43090255809582,1.59721115001826,1.61293284084058,Up
Srrm3,1.3176929833115,0.98863632529532,1.02744127706512,Up
St8sia5,0.876049607916812,0.89175310677195,1.00235687692551,Up
Susd4,1.27983584729194,1.25210247349013,1.00650015292062,Up
Tent2,1.53656259641374,1.29591084669593,1.68893519390634,Up
Trmt9b,5.1390473990063,4.88638503610226,4.81880232591037,Up
Tulp4,0.973160330156919,1.04173587772559,1.286475839422,Up
Ubr2,1.24916665719925,1.20728068605792,1.40034306238015,Up
Vps9d1,3.11210631710744,2.7326704422109,2.99544176610839,Up
Xpnpep3,4.48794435360129,4.94572319038233,4.84328649258716,Up
Xpo7,1.43049783978328,1.09716407854917,1.24194504067985,Up
Aldoc,-1.92282030034848,-1.52325272671088,-1.80716740379898,Down
Alkbh3,-1.61731415797647,-1.2426316875124,-1.86975866105784,Down
Ccdc85b,-1.60768568135644,-1.18920611830951,-1.45573152330297,Down
Cep290,-1.28208238340542,-0.662431739805046,-1.1218007438444,Down
Chchd7,-2.16671377126992,-1.80865183378092,-1.58515967597402,Down
Deaf1,-1.00121294885824,-0.862513848211253,-1.42226064653246,Down
Dkk3,-1.11279969366314,-0.509498052336744,-0.643762491521694,Down
Gcc1,-2.10685550075046,-3.53426814895292,-1.4890828672087,Down
Ghr,-0.862150507846024,-0.692160672314936,-1.18949289136168,Down
Gm12353,-2.00332729128701,-0.817817517020132,-1.98793727299198,Down
Gm5577,-3.16635389169139,-1.53212029376756,-1.79621462372859,Down
Gpc4,-2.36467772806588,-1.4713231135328,-1.47055793506021,Down
Herpud1,-3.49783768755679,-1.69379396611592,-2.10786326179674,Down
Lhx2,-1.57197347838872,-1.60291177981536,-2.02659391519876,Down
Lrwd1,-1.83930890999243,-2.12666113685221,-2.29689961371123,Down
Mapt,-0.653702871852892,-0.536231691651766,-0.564777823532583,Down
Mfap3l,-1.4259681481491,-1.33162879362393,-1.74868776005256,Down
Mir9-3hg,-0.719539179771832,-0.573436360335556,-0.713976173177698,Down
Mmaa,-1.02414025320145,-0.858002338185746,-1.45711867507126,Down
Mosmo,-1.55293552659558,-0.981637242424357,-1.83094558120669,Down
Mrpl37,-1.81489119768031,-1.80453141914293,-2.17509498004447,Down
Naa10,-2.57519236346533,-1.98881050332926,-2.49581220830559,Down
Nat8l,-1.57064422989934,-0.883918761013534,-1.87785800658016,Down
Npas3,-0.840169229818738,-0.658331354263856,-1.12704778614811,Down
Opa3,-2.11783768571553,-1.50894716609609,-1.49176048355104,Down
Pan3,-0.589932619474608,-0.530779528392811,-0.513029117505262,Down
Phka2,-1.0858547335869,-0.654132861590736,-1.08184422524438,Down
Prkd1,-1.43277413075354,-1.41247997885715,-1.60656412862338,Down
Psma2,-1.5614894522011,-1.36669235667726,-1.6285999233521,Down
Rb1cc1,-0.911466816958585,-0.811181713085732,-1.02992649791877,Down
Scn3a,-0.920164898784854,-0.958832732959344,-1.15571290465137,Down
Sdc3,-2.26438918305234,-1.88852293542806,-1.52003801446243,Down
Siah1a,-1.21754800428616,-0.964217739120758,-1.47616059317791,Down
Slc44a1,-0.763600975368,-0.611200313832403,-0.788601080199768,Down
Snhg20,-1.96930064449768,-1.60855636326727,-1.3461720789672,Down
Ssh1,-3.33594335908414,-1.65492289290339,-2.10272346210835,Down
Stard13,-2.72513294970229,-2.6782651637123,-3.13051205270709,Down
Syt3,-1.62045869101029,-1.93643062861906,-1.77696200129407,Down
Tbc1d1,-1.03865689420285,-0.746554755842134,-0.959902565465789,Down
Thsd7b,-1.0204785425568,-1.33876092876725,-0.890412664933412,Down
Vps33a,-1.06072003471742,-1.33990046020898,-0.94336122610176,Down
Zfp952,-1.80327021813181,-1.97140811653496,-1.77483275519085,Down
