"gene","FC_RARA","FC_RARG","FC_Combo","category"
"Larp1b",-1.30215875688937,0,0,"RARA Unique (n=136)"
"Tmem106b",-1.80201013686251,0,0,"RARA Unique (n=136)"
"Ivns1abp",-1.13544346734111,0,0,"RARA Unique (n=136)"
"Ccnk",-1.5753677265237,0,0,"RARA Unique (n=136)"
"Atp8b2",-1.0874560953665,0,0,"RARA Unique (n=136)"
"Nicn1",-1.66124732355119,0,0,"RARA Unique (n=136)"
"Lyrm4",-1.68080138094054,0,0,"RARA Unique (n=136)"
"Tenm1",0,0,-0.53122485433013,"Combo Unique (n=173)"
"Scg5",0,0,-0.789982207276827,"Combo Unique (n=173)"
"Zfp729b",-1.87590143712116,0,0,"RARA Unique (n=136)"
"Eid2b",-1.85595818883461,0,0,"RARA Unique (n=136)"
"Rnf146",-1.14375340496475,0,0,"RARA Unique (n=136)"
"Eif4e2",-1.44670027574728,0,0,"RARA Unique (n=136)"
"Wnt7b",-2.29158056840799,0,0,"RARA Unique (n=136)"
"Myg1",-1.76554970038812,0,0,"RARA Unique (n=136)"
"Pecr",-1.61500127886051,0,0,"RARA Unique (n=136)"
"Peak1",-0.791112887982651,0,0,"RARA Unique (n=136)"
"Ube2e1",-1.01721152742446,0,0,"RARA Unique (n=136)"
"Otud7a",0,0,-0.544196536151275,"Combo Unique (n=173)"
"Snx21",-1.36932646799067,0,0,"RARA Unique (n=136)"
"Ap1ar",-1.23415348737464,0,0,"RARA Unique (n=136)"
"Insig2",-1.29579518292345,0,0,"RARA Unique (n=136)"
"Brap",-1.06426357234739,0,0,"RARA Unique (n=136)"
"1810030O07Rik",-1.72318264855189,0,0,"RARA Unique (n=136)"
"Rab8b",-0.925652665374679,0,0,"RARA Unique (n=136)"
"Man1a",0.801719950176678,0,0,"RARA Unique (n=136)"
"Slc24a4",-0.848775286242836,0,0,"RARA Unique (n=136)"
"Cops8",-1.28369218501293,0,0,"RARA Unique (n=136)"
"Gm13944",-1.27909731301357,0,0,"RARA Unique (n=136)"
"Tmem266",-1.58455176253622,0,0,"RARA Unique (n=136)"
"Fra10ac1",-1.41567774089322,0,0,"RARA Unique (n=136)"
"Pebp1",2.40455125510945,0,0,"RARA Unique (n=136)"
"Zfp955b",-1.22618961241662,0,0,"RARA Unique (n=136)"
"Actr5",-1.30636661856993,0,0,"RARA Unique (n=136)"
"Arvcf",-1.36173320097481,0,0,"RARA Unique (n=136)"
"Zbtb25",4.52708600759429,0,0,"RARA Unique (n=136)"
"Psip1",-0.505829459308132,0,0,"RARA Unique (n=136)"
"Exd2",-0.757507529254708,0,0,"RARA Unique (n=136)"
"Msh3",-0.821356916585576,0,0,"RARA Unique (n=136)"
"Bloc1s2",-1.3150760597425,0,0,"RARA Unique (n=136)"
"Ankrd46",-1.32881986735989,0,0,"RARA Unique (n=136)"
"Ppp2r5e",-0.670979617281837,0,0,"RARA Unique (n=136)"
"Shf",-2.04833318355921,0,0,"RARA Unique (n=136)"
"Trank1",0,-0.501415626958931,0,"RARG Unique (n=163)"
"Camkmt",0.57044705044191,0,0,"RARA Unique (n=136)"
"Simc1",-1.17426597377108,0,0,"RARA Unique (n=136)"
"Homer1",0,-0.640945107054326,0,"RARG Unique (n=163)"
"Cdk6",-1.67204886621758,0,0,"RARA Unique (n=136)"
"Inpp4b",-0.954330296309682,0,0,"RARA Unique (n=136)"
"Rnps1",1.50764576678328,0,0,"RARA Unique (n=136)"
"Prrg3",-1.73691528933161,0,0,"RARA Unique (n=136)"
"Casp8ap2",-1.20401465213066,0,0,"RARA Unique (n=136)"
"Gcn1",-0.957187494949775,0,0,"RARA Unique (n=136)"
"Lrriq1",-1.4428813711428,0,0,"RARA Unique (n=136)"
"Psmb5",-1.16745918066747,0,0,"RARA Unique (n=136)"
"Sel1l3",0,0,-0.637094728669515,"Combo Unique (n=173)"
"Zkscan16",-0.941818218990989,0,0,"RARA Unique (n=136)"
"L1cam",-1.09308792598545,0,0,"RARA Unique (n=136)"
"Sik2",-0.54817775416623,0,0,"RARA Unique (n=136)"
"Rnf2",-1.10558517723592,0,0,"RARA Unique (n=136)"
