"seqnames","start","end","width","strand","length","abs_summit","pileup","X.log10.pvalue.","fold_enrichment","X.log10.qvalue.","name","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",13550028,13550335,308,"*",308,13550126,7,6.79645,5.1061,3.11382,"RARG_Treated_vs_Input_peak_1","Distal Intergenic",1,13576144,13579798,3655,2,"72265","ENSMUST00000185447.1",29463,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",18450897,18451127,231,"*",231,18451018,6,6.06571,4.7029,2.4084,"RARG_Treated_vs_Input_peak_2","Distal Intergenic",1,18250980,18265138,14159,2,"77673","ENSMUST00000088463.1",-185759,"ENSMUSG00000067773","Defb41","defensin beta 41"
"chr1",23382718,23383182,465,"*",465,23382970,26,32.8422,16.0704,28.0881,"RARG_Treated_vs_Input_peak_3","Promoter (<=1kb)",1,23366424,23383175,16752,2,"70155","ENSMUST00000027343.5",0,"ENSMUSG00000026158","Ogfrl1","opioid growth factor receptor-like 1"
"chr1",24099875,24100097,223,"*",223,24099890,22,25.5252,13.1004,21.048,"RARG_Treated_vs_Input_peak_4","Promoter (<=1kb)",1,24011591,24100182,88592,2,"68187","ENSMUST00000187369.6",85,"ENSMUSG00000026153","Fam135a","family with sequence similarity 135, member A"
"chr1",30858040,30858321,282,"*",282,30858201,7,6.39056,4.87116,2.72095,"RARG_Treated_vs_Input_peak_5","Intron (ENSMUST00000186733.6/213109, intron 2 of 15)",1,30824416,30863070,38655,2,"213109","ENSMUST00000187600.1",4749,"ENSMUSG00000048874","Phf3","PHD finger protein 3"
"chr1",36013845,36014144,300,"*",300,36014038,6,5.99537,4.6647,2.35888,"RARG_Treated_vs_Input_peak_6","Distal Intergenic",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-54256,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"chr1",36445018,36445233,216,"*",216,36445191,19,24.8118,13.4369,20.3651,"RARG_Treated_vs_Input_peak_7","Promoter (<=1kb)",1,36422065,36445271,23207,2,"214895","ENSMUST00000125304.7",38,"ENSMUSG00000001143","Lman2l","lectin, mannose-binding 2-like"
"chr1",36512238,36512825,588,"*",588,36512417,37,40.5489,16.294,35.5895,"RARG_Treated_vs_Input_peak_8","Promoter (<=1kb)",1,36513097,36520435,7339,1,"94218","ENSMUST00000154225.1",-272,"ENSMUSG00000001138","Cnnm3","cyclin M3"
"chr1",38835916,38836291,376,"*",376,38836281,32,33.3896,14.15,28.599,"RARG_Treated_vs_Input_peak_9","Promoter (<=1kb)",1,38793645,38836711,43067,2,"381338","ENSMUST00000147695.8",420,"ENSMUSG00000048814","Lonrf2","LON peptidase N-terminal domain and ring finger 2"
"chr1",42696863,42697099,237,"*",237,42697086,17,20.4783,11.4887,16.2329,"RARG_Treated_vs_Input_peak_10","Promoter (1-2kb)",1,42695768,42703176,7409,1,"18993","ENSMUST00000054883.3",1095,"ENSMUSG00000045515","Pou3f3","POU domain, class 3, transcription factor 3"
